Record Date,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-06-30,752,11947900.00,289300.00,11658600.00,2023,3,2023,2,06,30
2023-06-30,8829,302915700.00,3121600.00,299794100.00,2023,3,2023,2,06,30
2023-05-31,20483,8147468.47,206079.65,7941388.82,2023,3,2023,2,05,31
2023-05-31,151462,230121142.18,3740467.56,226380674.62,2023,3,2023,2,05,31
2023-05-31,272626,14803592000.00,206560100.00,14597031900.00,2023,3,2023,2,05,31
2023-05-31,1568,39923000.00,141100.00,39781900.00,2023,3,2023,2,05,31
2023-05-31,12549,441804300.00,3408700.00,438395600.00,2023,3,2023,2,05,31
2023-04-30,18608,9147014.92,209432.21,8937582.71,2023,3,2023,2,04,30
2023-04-30,299260,1255009751.81,11213590.14,1243796161.67,2023,3,2023,2,04,30
2023-04-30,230710,13421371300.00,163063500.00,13258307800.00,2023,3,2023,2,04,30
2023-04-30,192,1693200.00,9154500.00,-7461300.00,2023,3,2023,2,04,30
2023-04-30,4182,145430400.00,8609600.00,136820800.00,2023,3,2023,2,04,30
2023-03-31,21405,11538931.31,307339.04,11231592.27,2023,2,2023,1,03,31
2023-03-31,295592,1171807471.18,11972039.20,1159835431.98,2023,2,2023,1,03,31
2023-03-31,281390,16808097700.00,229934600.00,16578163100.00,2023,2,2023,1,03,31
2023-03-31,844,21317600.00,222800.00,21094800.00,2023,2,2023,1,03,31
2023-03-31,12759,455145200.00,3630300.00,451514900.00,2023,2,2023,1,03,31
2023-02-28,18431,9938784.25,201945.00,9736839.25,2023,2,2023,1,02,28
2023-02-28,278799,1234294795.89,11886896.00,1222407899.89,2023,2,2023,1,02,28
2023-02-28,189823,11442016000.00,152008700.00,11290007300.00,2023,2,2023,1,02,28
2023-02-28,1469,40555500.00,176600.00,40378900.00,2023,2,2023,1,02,28
2023-02-28,10698,446699800.00,40667900.00,406031900.00,2023,2,2023,1,02,28
2023-01-31,23374,28712811.69,351538.54,28361273.15,2023,2,2023,1,01,31
2023-01-31,635832,4257049177.80,33739686.46,4223309491.34,2023,2,2023,1,01,31
2023-01-31,187603,12132414300.00,144037000.00,11988377300.00,2023,2,2023,1,01,31
2023-01-31,1182,47401500.00,622300.00,46779200.00,2023,2,2023,1,01,31
2023-01-31,20219,926400200.00,5606100.00,920794100.00,2023,2,2023,1,01,31
2022-12-31,33467,15259789.41,270802.30,14988987.11,2023,1,2022,4,12,31
2022-12-31,276697,956452364.05,14021982.68,942430381.37,2023,1,2022,4,12,31
2022-12-31,174293,11168790800.00,109412100.00,11059378700.00,2023,1,2022,4,12,31
2022-12-31,268,5865300.00,4186600.00,1678700.00,2023,1,2022,4,12,31
2022-12-31,6096,206581400.00,20366300.00,186215100.00,2023,1,2022,4,12,31
2022-11-30,21370,13873454.73,420994.50,13452460.23,2023,1,2022,4,11,30
2022-11-30,276331,1053937943.14,45355295.78,1008582647.36,2023,1,2022,4,11,30
2022-11-30,182846,11416402800.00,173030100.00,11243372700.00,2023,1,2022,4,11,30
2022-11-30,1427,59557400.00,1298400.00,58259000.00,2023,1,2022,4,11,30
2022-11-30,17586,769729400.00,5536400.00,764193000.00,2023,1,2022,4,11,30
2022-10-31,19474,18447598.28,786881.20,17660717.08,2023,1,2022,4,10,31
2022-10-31,1048630,6914134569.71,132248201.30,6781886368.41,2023,1,2022,4,10,31
2022-10-31,145814,9417029400.00,78794700.00,9338234700.00,2023,1,2022,4,10,31
2022-10-31,609,15089800.00,620100.00,14469700.00,2023,1,2022,4,10,31
2022-10-31,23721,991037100.00,6396600.00,984640500.00,2023,1,2022,4,10,31
2022-09-30,19217,10859860.05,413337.33,10446522.72,2022,4,2022,3,09,30
2022-09-30,471706,2402031419.61,53072380.56,2348959039.05,2022,4,2022,3,09,30
2022-09-30,103139,7812073100.00,67558400.00,7744514700.00,2022,4,2022,3,09,30
2022-09-30,556,8400700.00,739100.00,7661600.00,2022,4,2022,3,09,30
2022-09-30,18082,842852900.00,3610800.00,839242100.00,2022,4,2022,3,09,30
2022-08-31,18813,10567710.75,312090.83,10255619.92,2022,4,2022,3,08,31
2022-08-31,453055,2299333759.95,50930852.50,2248402907.45,2022,4,2022,3,08,31
2022-08-31,78722,7152486700.00,71414300.00,7081072400.00,2022,4,2022,3,08,31
2022-08-31,1534,39868300.00,5104900.00,34763400.00,2022,4,2022,3,08,31
2022-08-31,14403,802940700.00,3560100.00,799380600.00,2022,4,2022,3,08,31
2022-07-31,17840,9220358.59,301810.00,8918548.59,2022,4,2022,3,07,31
2022-07-31,454855,2395081381.57,52083759.47,2342997622.10,2022,4,2022,3,07,31
2022-07-31,51941,4413929400.00,34133000.00,4379796400.00,2022,4,2022,3,07,31
2022-07-31,117,1508700.00,87400.00,1421300.00,2022,4,2022,3,07,31
2022-07-31,3712,105404900.00,4756300.00,100648600.00,2022,4,2022,3,07,31
2022-06-30,18299,11446032.47,936863.33,10509169.14,2022,3,2022,2,06,30
2022-06-30,531928,3037655859.73,73057075.25,2964598784.48,2022,3,2022,2,06,30
2022-06-30,44679,4169595200.00,43112500.00,4126482700.00,2022,3,2022,2,06,30
2022-06-30,619,9924700.00,20300.00,9904400.00,2022,3,2022,2,06,30
2022-06-30,12597,573380600.00,2152400.00,571228200.00,2022,3,2022,2,06,30
2022-05-31,19624,15461687.00,475213.99,14986473.01,2022,3,2022,2,05,31
2022-05-31,776312,4976522143.69,109767749.77,4866754393.92,2022,3,2022,2,05,31
2022-05-31,38532,3653120200.00,17807200.00,3635313000.00,2022,3,2022,2,05,31
2022-05-31,967,9278900.00,664300.00,8614600.00,2022,3,2022,2,05,31
2022-05-31,15063,883440300.00,11640800.00,871799500.00,2022,3,2022,2,05,31
2022-04-30,19345,9344852.86,156776.00,9188076.86,2022,3,2022,2,04,30
2022-04-30,580859,3788579734.35,58524200.08,3730055534.27,2022,3,2022,2,04,30
2022-04-30,20914,2473304600.00,8909100.00,2464395500.00,2022,3,2022,2,04,30
2022-04-30,93,3666600.00,60300.00,3606300.00,2022,3,2022,2,04,30
2022-04-30,4133,169729600.00,2469300.00,167260300.00,2022,3,2022,2,04,30
2022-03-31,18073,7344335.47,118300.99,7226034.48,2022,2,2022,1,03,31
2022-03-31,202483,936905947.73,16917925.56,919988022.17,2022,2,2022,1,03,31
2022-03-31,15033,2378184100.00,19306000.00,2358878100.00,2022,2,2022,1,03,31
2022-03-31,314,5279200.00,54600.00,5224600.00,2022,2,2022,1,03,31
2022-03-31,5002,289228900.00,439800.00,288789100.00,2022,2,2022,1,03,31
2022-02-28,17539,8748201.07,207484.61,8540716.46,2022,2,2022,1,02,28
2022-02-28,187349,923105810.41,15933364.37,907172446.04,2022,2,2022,1,02,28
2022-02-28,10246,1847170800.00,10300900.00,1836869900.00,2022,2,2022,1,02,28
2022-02-28,736,12815800.00,5024900.00,7790900.00,2022,2,2022,1,02,28
2022-02-28,3116,182843000.00,732700.00,182110300.00,2022,2,2022,1,02,28
2022-01-31,22487,36398969.43,457540.77,35941428.66,2022,2,2022,1,01,31
